No,add_total,위도,경도,한글id
1,가로공원로58길,37.533058,126.824774,가로
2,가마산로61길,128.0036459,37.49306807,가마
3,가산로3길,126.9023775,37.47074393,가산
4,가재울로6길,126.921411,37.577742,가재
5,가좌로7길,37.585974,126.918996,가좌
6,갈현로1길,126.9098529,37.59810723,갈현
7,강남대로118길,37.507146,127.026463,강남
8,강동대로53길,127.132565,37.525915,강동
9,강서로15길,37.532104,126.842198,강서
10,개봉로11길,126.8560469,37.48665731,개봉
11,개운사길,37.588245,127.029257,개운
12,개포로17길,37.479667,127.04653,개포
13,개화동로23길,126.811432,37.564826,개화
14,거마로20길,127.146458,37.497978,거마
15,겸재로29길,37.590097,127.085492,겸재
16,경인로15길,126.822523,37.49042676,경인
17,경희대로3길,127.0521448,37.59199423,경희
18,계동길,37.579137,126.986718,계동
19,고덕로10길,37.552988,127.129738,고덕
20,고무래로8길,127.010028,37.50365794,고무
21,고산자로6길,37.557521,127.035104,고산
22,고척로21나길,126.8396842,37.49664186,고척
23,곰달래로10길,126.8338957,37.52965506,곰달
24,공릉로12가길,127.0777932,37.61170879,공릉
25,공원로6가길,37.503524,126.889889,공원
26,공항대로38길,126.8119924,37.56059427,공항
27,관악로10길,37.477356,126.955074,관악
28,관천로15길,126.9286753,37.48137818,관천
29,광나루로12길,37.54715,127.067735,광나
30,광성로6길,37.547884,126.939473,광성
31,구로동로15길,37.487803,126.88206,구로
32,구암길,37.491787,126.946907,구암
33,구천면로36길,127.131727,37.543091,구천
34,국사봉1길,37.499237,126.931066,국사
35,국회단지길,37.486749,126.939445,국회
36,금하로14길,126.903913,37.453508,금하
37,금호산2길,37.548812,127.021255,금호
38,긴고랑로20길,127.0786272,37.56339164,긴고
39,길음로7길,127.0239905,37.60416485,길음
40,까치산로4길,126.841889,37.5405025,까치
41,낙성대역길,37.476386,126.961649,낙성
42,난계로11길,37.566397,127.022129,난계
43,난곡로24길,126.920033,37.46984,난곡
44,난우길,37.473519,126.918904,난우
45,난향길,37.462837,126.918267,난향
46,남부순환로112길,126.895573,37.478376,남부
47,남부순환로88길,37.511827,126.840417,남부
48,남현2길,37.475893,126.977365,남현
49,노량진로6길,37.513153,126.935833,노량
50,노해로17길,127.0226551,37.63705161,노해
51,녹사평대로11길,37.522204,126.993485,녹사
52,논현로106길,127.035229,37.506312,논현
53,능동로13길,127.070663,37.539947,능동
54,다산로33길,37.562451,127.014904,다산
55,답십리로23길,37.572865,127.057485,답십
56,당곡길,37.490906,126.928611,당곡
57,당산로31길,126.896197,37.524033,당산
58,대림로22길,126.910744,37.48731117,대림
59,대방동27길,126.920364,37.499998,대방
60,대사관로34길,127.0018326,37.53342012,대사
61,대학14길,37.468536,126.937675,대학
62,대흥로21길,126.945771,37.556569,대흥
63,덕릉로40길,127.0180438,37.63404944,덕릉
64,도곡로37길,37.496323,127.052963,도곡
65,도당로13가길,127.0343345,37.65959564,도당
66,도림로112길,37.502876,126.900372,도림
67,도봉로109길,127.0288197,37.61872738,도봉
68,도산대로15길,127.019537,37.516375,도산
69,도신로15길,37.508184,126.904723,도신
70,도화4길,37.540629,126.949044,도화
71,독립문로8길,37.56961,126.96106,독립
72,독막로22길,126.915792,37.54823391,독막
73,독산로108길,126.901454,37.485051,독산
74,돈화문로11가길,126.9920386,37.56960931,돈화
75,돌곶이로14길,37.611574,127.056107,돌곶
76,동광로12길,126.991562,37.572668,동광
77,동교로17길,126.914775,37.555957,동교
78,동남로20길,127.132496,37.497241,동남
79,동산로10길,127.039157,37.469672,동산
80,동소문로13길,127.0076148,37.5892447,동소
81,동일로100길,37.654307,127.060636,동일
82,동작대로17길,37.492698,126.982644,동작
83,동호로10길,127.01066,37.554749,동호
84,두텁바위로1길,37.545921,126.978687,두텁
85,둘레9길,37.535879,127.053448,둘레
86,등용로14길,126.9371065,37.50531928,등용
87,등촌로13길,37.543685,126.862296,등촌
88,디지털로27길,126.8705543,37.47410976,디지
89,뚝섬로23길,37.54145,127.045675,뚝섬
90,마방로2길,127.0391419,37.47356367,마방
91,마장로27길,127.038804,37.561073,마장
92,마조로16길,127.043836,37.56661,마조
93,마천로51길,127.1262978,37.50850525,마천
94,마포대로12길,126.9443927,37.53786556,마포
95,만리재옛길,37.548438,126.9573,만리
96,만양로14길,126.9473771,37.50587254,만양
97,망우로18가길,127.0558,37.58782697,망우
98,망원로11길,126.8981337,37.55609166,망원
99,매봉길,37.545097,127.01608,매봉
100,면목로17길,127.0754976,37.55569307,면목
101,명동길,37.563822,126.98503,명동
102,명륜길,37.588741,126.995117,명륜
103,명일로13길,126.8567884,37.48263347,명일
104,명지대길,37.583781,126.923182,명지
105,모래내로15길,126.914459,37.568898,모래
106,목동남로4길,126.864909,37.508972,목동
107,무수막길,37.55096,127.023041,무수
108,무학로16길,127.030452,37.570827,무학
109,문성로5길,37.479185,126.926859,문성
110,미성5길,37.474771,126.91523,미성
111,바우뫼로39길,37.47805,127.038513,바우
112,반포대로9길,127.0123048,37.48139027,반포
113,방배로18길,37.488017,126.993349,방배
114,방울내로9안길,37.55992,126.902754,방울
115,방학로10길,37.662534,127.034583,방학
116,방화대로21길,37.565178,126.816568,방화
117,백범로16길,37.545766,126.946785,백범
118,백석동길,37.592999,126.965773,백석
119,백제고분로21길,127.0825549,37.51452063,백제
120,범안로11길,126.889516,37.466685,범안
121,법원단지9길,37.475168,126.921922,법원
122,벚꽃로56길,126.882639,37.48174,벚꽃
123,보국문로16길,127.0113755,37.60610409,보국
124,보문로13길,127.0229296,37.57669434,보문
125,복은길,37.474573,126.938675,복은
126,봉우재로33길,127.0769625,37.59045435,봉우
127,봉은사로109길,127.0255846,37.50511738,봉은
128,봉천로13길,37.482682,126.946416,봉천
129,봉화산로30길,37.603791,127.089621,봉화
130,부일로11길,126.831732,37.493293,부일
131,북아현로4길,126.9564391,37.55782674,북아
132,북촌로11길,37.581891,126.984973,북촌
133,불광천길,37.592104,126.914768,불광
134,사가정로13길,127.058119,37.57832,사가
135,사근동길,37.560837,127.045877,사근
136,사당로16가길,126.9560927,37.49523643,사당
137,사임당로17길,127.0152,37.494181,사임
138,사평대로22길,37.497617,126.997637,사평
139,삼각산로28길,127.020091,37.639097,삼각
140,삼선교로10길,127.0069084,37.58773416,삼선
141,삼성로115길,37.506666,127.056594,삼성
142,삼양로144길,37.607129,127.02369,삼양
143,삼일대로4길,37.575079,126.986873,삼일
144,삼전로13길,37.504286,127.088044,삼전
145,삼청로5길,37.58331,126.981769,삼청
146,상계로12길,37.660508,127.072894,상계
147,상도로15길,126.947891,37.503268,상도
148,상암로14길,127.1253223,37.55086036,상암
149,상원12길,37.550616,127.049718,상원
150,상일로5길,127.165469,37.556303,상일
151,새말로18길,126.8831457,37.50198639,새말
152,서달로10길,37.504878,126.962422,서달
153,서림7길,37.473243,126.941079,서림
154,서빙고로71길,37.523281,126.995798,서빙
155,서오릉로21길,126.9255577,37.60302374,서오
156,서울숲2길,37.54799,127.04196,서울
157,서초대로15길,37.488897,126.988919,서초
158,석계로1길,37.623032,127.060972,석계
159,선릉로121길,37.504545,127.048636,선릉
160,선유로55길,37.536087,126.897926,선유
161,성균관로5길,126.9981814,37.58348026,성균
162,성내로5길,127.120683,37.530568,성내
163,성대로1길,37.497767,126.9359,성대
164,성덕정17길,37.537815,127.055303,성덕
165,성미산로11길,126.9094307,37.55843705,성미
166,성북로8길,127.006513,37.588701,성북
167,성산로4길,126.916694,37.567442,성산
168,성수이로18길,127.0541395,37.53684035,성수
169,성안로3길,127.12092,37.530281,성안
170,성지3길,37.548393,126.915891,성지
171,세검정로1길,37.609442,126.974288,세검
172,세무서2길,37.588632,126.94741,세무
173,소담길,37.547369,126.953695,소담
174,소월로20길,126.9756284,37.55786287,소월
175,솔매로41길,127.0169657,37.62540227,솔매
176,솔샘로65길,127.0067461,37.61306013,솔샘
177,송이로23길,127.1168063,37.50324019,송이
178,송정12라길,37.550958,127.068041,송정
179,송파대로30길,37.494798,127.119144,송파
180,수색로18길,126.916614,37.56894404,수색
181,수유로12길,127.0185746,37.63192787,수유
182,숭문8길,37.549501,126.947944,숭문
183,숭인동길,37.577171,127.022024,숭인
184,승방길,37.473177,126.979371,승방
185,시루봉로23길,37.662117,127.029959,시루
186,시흥대로120길,126.897909,37.469232,시흥
187,신길로17길,126.908824,37.499993,신길
188,신내로7가길,127.096839,37.59985853,신내
189,신대방길,37.488046,126.9105,신대
190,신도림로13길,126.880394,37.508048,신도
191,신림동길,37.484262,126.929568,신림
192,신목로2길,37.521444,126.873777,신목
193,신반포로45길,126.9891638,37.50499136,신반
194,신사로20길,37.485894,126.912011,신사
195,신원로3길,126.925344,37.483698,신원
196,신월로15길,126.852659,37.520068,신월
197,신촌로12길,126.936499,37.55502,신촌
198,신흥로20길,126.984901,37.546382,신흥
199,아리랑로4길,127.017443,37.593202,아리
200,아차산로11길,37.545035,127.104117,아차
201,안암로5길,127.023442,37.57914465,안암
202,암사길,37.551895,127.136207,암사
203,압구정로2길,37.526056,127.028503,압구
204,약령시로17길,37.582826,127.037219,약령
205,양녕로26길,126.9468463,37.48426679,양녕
206,양산길,37.473711,126.933389,양산
207,양재대로101길,37.532666,127.13561,양재
208,양지길,37.470071,126.933118,양지
209,양천로14길,37.570342,126.809273,양천
210,양평로19길,37.537199,126.895226,양평
211,양화로11길,126.9101513,37.54879733,양화
212,언남길,37.473093,127.042538,언남
213,언주로81길,37.499615,127.040845,언주
214,여의대방로22길,126.9109698,37.49258072,여의
215,역말로9길,126.9113216,37.60570041,역말
216,연서로11길,37.608577,126.913109,연서
217,연희로10길,126.929578,37.564989,연희
218,영동대로112길,127.060756,37.514337,영동
219,영등포로25길,126.8845148,37.52333185,영등
220,영신로9길,126.907041,37.51537,영신
221,오금로11길,37.501968,127.12816,오금
222,오류로8길,126.844553,37.494248,오류
223,오목로23길,126.849162,37.52757,오목
224,오패산로19길,37.609352,127.034122,오패
225,옥인길,37.581492,126.965683,옥인
226,올림픽로48길,127.120314,37.529959,올림
227,와우산로29가길,126.9228015,37.54714728,와우
228,왕산로32길,127.044836,37.579937,왕산
229,왕십리로14길,37.560758,127.038703,왕십
230,용답29길,37.563744,127.052805,용답
231,용마산로100길,127.0873197,37.5626168,용마
232,우마길,37.481925,126.887833,우마
233,우사단로10길,126.9967963,37.53115223,우사
234,우이천로32길,127.025328,37.6489,우이
235,우장산로6길,126.836469,37.548917,우장
236,원신길,37.506022,126.910341,원신
237,원효로19길,126.951391,37.532873,원효
238,월드컵로10길,37.554274,126.911747,월드
239,월정로20길,126.8436749,37.5215875,월정
240,율곡로10길,37.5759,126.99815,율곡
241,은천로25길,126.9382501,37.48642329,은천
242,은평로10길,126.9098229,37.5968846,은평
243,은행정로5길,126.8595717,37.5201944,은행
244,응암로12길,37.587764,126.918218,응암
245,이문로42길,127.0568703,37.59107241,이문
246,이촌로22길,126.9537514,37.52972162,이촌
247,이태원로27길,37.534538,126.995571,이태
248,이화장길,37.57722,127.004468,이화
249,인수봉로56길,127.012907,37.636852,인수
250,인촌로17가길,37.586274,127.028729,인촌
251,인헌길,37.476628,126.964433,인헌
252,일원로3길,37.493673,127.079469,일원
253,자양로11길,37.537113,127.082396,자양
254,자하문로7길,126.9722056,37.5767128,자하
255,장군봉1길,37.48227,126.941837,장군
256,장문로45길,126.9953845,37.52745968,장문
257,장승배기로10길,126.938837,37.504737,장승
258,장월로1길,37.605148,127.044098,장월
259,장위로50길,127.0422058,37.61395339,장위
260,장충단로8길,37.562302,127.008345,장충
261,장터길,37.548354,127.018706,장터
262,장한로14길,127.0657533,37.5626093,장한
263,전농로29길,127.050443,37.579644,전농
264,정릉로26길,37.603727,127.011704,정릉
265,제기로21길,127.0353505,37.58690548,제기
266,조원로10길,126.9033137,37.48332143,조원
267,종로24길,37.57103,127.001791,종로
268,종암로16길,37.597635,127.035064,종암
269,주흥15길,37.510001,127.017831,주흥
270,중랑천로10길,37.602048,127.073932,중랑
271,중앙길,37.483374,126.954127,중앙
272,증가로10길,126.9317534,37.56937734,증가
273,증산로13길,126.910223,37.584231,증산
274,지봉로20길,127.0159788,37.571899,지봉
275,지양로7길,126.8377796,37.51743543,지양
276,진황도로27길,127.132465,37.540433,진황
277,진흥로12길,37.610397,126.928713,진흥
278,창경궁로35길,126.9979752,37.56559334,창경
279,창신2길,37.571675,127.011287,창신
280,천장산로7길,127.06087,37.597763,천장
281,천중로39길,127.1264018,37.54552325,천중
282,천호대로109길,37.557258,127.079432,천호
283,청계천로10나길,37.570231,127.036929,청계
284,청구로17길,37.560127,127.013705,청구
285,청두곶길,37.479311,126.985271,청두
286,청룡8길,37.479296,126.945844,청룡
287,청림3길,37.488243,126.959042,청림
288,청파로47길,37.538811,126.961706,청파
289,초록마을로3길,126.8453895,37.54544781,초록
290,초원로16길,126.81308,37.561097,초원
291,충정로4길,37.565071,126.966209,충정
292,테헤란로81길,37.504501,127.04925,테헤
293,토정로37길,126.946413,37.539753,토정
294,통일로11길,126.965662,37.565065,통일
295,퇴계로12길,126.981478,37.557079,퇴계
296,평창길,37.608705,126.973004,평창
297,풍성로25길,127.115468,37.53487803,풍성
298,필운대로1길,37.581461,126.968471,필운
299,학동로38길,127.032513,37.514536,학동
300,한강대로104길,37.534953,126.973142,한강
301,한글비석로22길,37.661051,127.074159,한글
302,한남대로20길,37.538188,127.004339,한남
303,한림말3길,37.542353,127.015849,한림
304,한천로101가길,127.0646198,37.5704795,한천
305,해등로16길,37.654279,127.046012,해등
306,행운1길,37.483901,126.954618,행운
307,호암로20길,126.934164,37.471264,호암
308,홍연길,37.576238,126.930367,홍연
309,홍제내길,37.589573,126.943147,홍제
310,화곡로13길,37.541482,126.83992,화곡
311,화랑로13길,126.989501,37.539517,화랑
312,회나무로13길,126.9882756,37.53885481,회나
313,효령로23길,126.9873281,37.47788073,효령
314,효창원로39길,126.953606,37.53549743,효창
315,후암로28길,126.9780025,37.54852081,후암
316,휘경로14길,127.0615276,37.59569568,휘경
317,흑석로13길,126.961026,37.507907,흑석
