trdar_cd_nm,Latitude,Longitude
가로공원로58길,37.5324797,126.8248273
가로공원로76가길,37.5341837,126.8422665
가로공원로80길,37.5353861,126.8397284
가마산로61길,37.5064668,126.904664
가산로3길,37.4721072,126.8914582
가산로5길,37.473557,126.8918356
가재울로6길,37.5763016,126.9232664
가좌로7길,37.586362,126.9193356
갈현로1길,37.599575,126.908582
갈현로33길,37.6216341,126.9132712
갈현로41길,37.6252706,126.9146049
갈현로7길,37.6039169,126.9084764
강남대로118길,37.5069599,127.0264178
강남대로136길,37.5136649,127.023287
강남대로140길,37.5143601,127.023046
강남대로23길,37.4753948,127.0364837
강남대로34길,37.483513,127.0385929
강남대로8길,37.4691025,127.0427968
강동대로53길,37.525296,127.132187
강서로15길,37.5319236,126.8411845
강서로17가길,37.5342486,126.8439933
강서로18길,37.5345347,126.8497117
강서로29길,37.5386981,126.8388639
강서로35길,37.5426084,126.8361551
강서로45길,37.5493311,126.8318818
강서로45다길,37.5453003,126.8346037
강서로47길,37.5528485,126.8324547
강서로47라길,37.5516266,126.8325036
강서로5가길,37.529002,126.8459484
강서로5나길,37.5284251,126.8432118
강서로5라길,37.5299224,126.8546806
강서로8길,37.5303471,126.854067
개봉로11길,37.4880546,126.8534866
개봉로17길,37.491798,126.8531725
개봉로17다길,37.4937545,126.8528651
개봉로1길,37.4835476,126.8524601
개봉로20길,37.4928382,126.8585243
개봉로23가길,37.495045,126.8591417
개봉로2길,37.4886029,126.8592013
개봉로3길,37.4855486,126.8521252
개운사길,37.5881084,127.02927
개포로17길,37.4796417,127.0462794
개포로20길,37.4770533,127.0481962
개포로28길,37.4777803,127.0501379
개포로82길,37.4887738,127.0679765
개화동로23길,37.5661523,126.8086469
개화동로25길,37.5655031,126.8087572
거마로20길,37.4947147,127.1453883
겸재로29길,37.5901794,127.0858042
겸재로36길,37.5863872,127.085775
겸재로54길,37.5862098,127.0917649
경인로15길,37.4962245,126.8377266
경인로31길,37.4997148,126.8502498
경인로35길,37.500545,126.8530714
경인로47길,37.502084,126.8650633
경인로77길,37.5131708,126.8917291
경인로80길,37.5117485,126.8958567
경인로90길,37.5136747,126.9010869
경희대로3길,37.5934681,127.0508422
경희대로4길,37.5916824,127.0551428
계동길,37.5809421,126.9867284
고덕로10길,37.5527856,127.1298786
고덕로25길,37.5555234,127.1365194
고덕로61길,37.5580119,127.1524482
고무래로8길,37.5036234,127.0100181
고산자로6길,37.5573714,127.0352218
고척로21나길,37.5026411,126.8427736
고척로27길,37.5050297,126.8459784
고척로27다길,37.5056137,126.8485856
고척로52길,37.502174,126.8559195
곰달래로10길,37.527874,126.8375334
곰달래로25길,37.532258,126.8485417
곰달래로2길,37.5281216,126.8345101
곰달래로31길,37.5331138,126.851339
곰달래로3길,37.5316461,126.832854
곰달래로47길,37.5340046,126.8559932
곰달래로53길,37.5349296,126.8575182
곰달래로5길,37.5338522,126.83168
곰달래로60길,37.5310029,126.8631051
공릉로12가길,37.6172518,127.0819442
공릉로2길,37.6109923,127.0779894
공릉로58길,37.6351591,127.0734024
공원로6가길,37.5029877,126.8905398
공항대로38길,37.5570656,126.8423541
공항대로42길,37.5561094,126.8432682
공항대로55길,37.5545469,126.8610208
공항대로59길,37.5539967,126.8635009
공항대로59다길,37.5509356,126.8699096
공항대로61길,37.5523314,126.8662594
공항대로8길,37.5587399,126.8125134
관악로10길,37.4768029,126.9551208
관악로14길,37.4784883,126.9551924
관악로28길,37.4846601,126.9583546
관악로30길,37.4857764,126.9596407
관천로15길,37.4862371,126.9187763
관천로22길,37.4885998,126.9248176
광나루로12길,37.5471503,127.0677893
광나루로24길,37.5451489,127.0776739
광나루로36길,37.5434584,127.0865597
광나루로37길,37.5459531,127.0884233
광나루로40길,37.5429819,127.0890568
광나루로52길,37.5402039,127.0927177
광성로6길,37.5478241,126.939555
구로동로15길,37.482976,126.8866342
구로동로28길,37.4917548,126.887632
구로동로38길,37.494916,126.8835685
구로동로41길,37.4943588,126.8812639
구로동로42길,37.4978521,126.8836958
구로동로7길,37.4859597,126.883461
구로동로8길,37.4877428,126.8869466
구로중앙로19길,37.4938811,126.8882967
구로중앙로28길,37.4995852,126.8872629
구로중앙로34길,37.5011055,126.8854768
구로중앙로42길,37.5099305,126.8775021
구로중앙로7길,37.4909859,126.8907183
구로중앙로8길,37.4925765,126.8929822
구암길,37.4900694,126.9475207
구천면로36길,37.5428797,127.132728
구천면로41길,37.546523,127.1320412
구천면로42길,37.5449113,127.1365113
국사봉1길,37.4964211,126.9324856
국사봉2길,37.4974845,126.9286879
국사봉길,37.4962729,126.9316267
국회단지길,37.488767,126.9412352
국회대로56길,37.522696,126.9103351
국회대로7길,37.5295406,126.8551401
금하로14길,37.4518093,126.9038145
금하로1길,37.45353,126.8910694
금하로24길,37.4484721,126.9087504
금호산2길,37.5486328,127.0232541
금호산길,37.5508028,127.0193581
긴고랑로20길,37.5593033,127.0828201
긴고랑로7길,37.5654878,127.0802683
긴고랑로8길,37.561912,127.0783259
긴고랑로9길,37.5649509,127.0815044
길음로7길,37.6036883,127.0226004
까치산로4길,37.5397,126.8457053
낙성대역길,37.4749214,126.9633343
난계로11길,37.5665867,127.0222895
난계로21길,37.570083,127.0216664
난계로27길,37.5729076,127.0208344
난계로30길,37.5734748,127.0254865
난곡로24길,37.468291,126.921631
난곡로26길,37.4699559,126.9233044
난곡로34길,37.472252,126.9208969
난곡로74길,37.4863431,126.9168364
난우길,37.4760578,126.9177036
난향길,37.4629311,126.916301
남부순환로112길,37.4772941,126.8937309
남부순환로11길,37.5557435,126.81476
남부순환로142길,37.4790127,126.9123123
남부순환로151길,37.4834482,126.9163862
남부순환로161길,37.4844159,126.9200172
남부순환로172길,37.482695,126.923476
남부순환로234길,37.477174,126.9565368
남부순환로248길,37.4736656,126.9659311
남부순환로317길,37.4814732,127.0105062
남부순환로325길,37.4816084,127.0144183
남부순환로339길,37.4851507,127.0219325
남부순환로33길,37.5382535,126.8309939
남부순환로365길,37.4875841,127.0398099
남부순환로40길,37.5332835,126.8259497
남부순환로58길,37.5298965,126.8308772
남부순환로70길,37.521906,126.8352166
남부순환로79길,37.5177882,126.842573
남부순환로88길,37.5114184,126.8407678
남부순환로97길,37.4939194,126.8589972
남현2길,37.4753416,126.9748151
남현3길,37.47497,126.9785378
남현길,37.4738572,126.9758399
노량진로6길,37.5109252,126.9361213
노해로17길,37.6404746,127.0201303
노해로23길,37.6457744,127.0203077
노해로33길,37.6474177,127.0214865
노해로60길,37.6488791,127.0337378
노해로63다길,37.6544893,127.0457618
녹사평대로11길,37.5221978,126.99317
녹사평대로26길,37.5313169,126.9931554
녹사평대로32길,37.5328424,126.9904918
녹사평대로40나길,37.5364348,126.988913
녹사평대로46길,37.5374041,126.9889937
논현로106길,37.5065956,127.0370746
논현로10길,37.4743815,127.0497913
논현로115길,37.5084525,127.0299422
논현로123길,37.5110401,127.0293954
논현로139길,37.5162464,127.0277812
논현로159길,37.522559,127.0255777
논현로1길,37.4707065,127.0489506
논현로26길,37.4833156,127.0454157
논현로27길,37.4792167,127.0412308
논현로28길,37.4834909,127.0445245
논현로63길,37.4921786,127.0379488
논현로8길,37.4744665,127.0517868
능동로13길,37.5444143,127.0696518
능동로19길,37.5471414,127.071806
능동로34길,37.5539409,127.084026
능동로3길,37.5339857,127.0649879
능동로4길,37.5319771,127.0701616
다산로33길,37.5633821,127.0123033
다산로36길,37.5608659,127.0184523
다산로38길,37.5481325,127.0070317
다산로39길,37.5642701,127.01342
답십리로23길,37.578608,127.0507775
답십리로56길,37.5696058,127.05883
답십리로60길,37.569977,127.0636324
답십리로63길,37.5755771,127.0688895
답십리로64길,37.5694402,127.065729
답십리로68길,37.5689446,127.0678859
답십리로69길,37.5756875,127.0740178
답십리로72길,37.5687959,127.0726329
답십리로75길,37.5743705,127.0809232
당곡길,37.4905772,126.9285645
당산로31길,37.5270073,126.894588
당산로37길,37.5297178,126.8976412
당산로38길,37.5290259,126.8994452
당산로46길,37.5332622,126.9046031
대림로22길,37.4949045,126.9034189
대림로29길,37.4945265,126.8962836
대림로31길,37.4962399,126.896017
대림로34길,37.4997882,126.9006513
대림로44길,37.5028744,126.8979388
대림로7길,37.4891019,126.9039882
대림로8길,37.4915578,126.9059395
대방동27길,37.5025689,126.9241549
대방동2길,37.5018531,126.9279559
대사관로34길,37.5312026,127.0057683
대학14길,37.4656632,126.9356277
대학길,37.4668354,126.9382275
대흥로21길,37.5532508,126.9440734
대흥로28길,37.5552531,126.9472639
덕릉로40길,37.6340142,127.0318339
덕릉로41길,37.6373968,127.0289728
덕릉로60길,37.6312489,127.0445914
도곡로37길,37.4955791,127.0447955
도당로13가길,37.6670432,127.0385755
도당로13바길,37.6683744,127.0362243
도당로19길,37.6692645,127.0394536
도당로29길,37.6692855,127.0420418
도림로112길,37.5091895,126.9024339
도림로12길,37.4854171,126.8870434
도림로147길,37.5155869,126.8889091
도림로63길,37.4993981,126.9028281
도림로6길,37.485079,126.8884071
도림천로21길,37.4874784,126.9024981
도봉로109길,37.6475407,127.0301948
도봉로114길,37.6475056,127.0368443
도봉로13길,37.6662661,127.0345749
도봉로143길,37.6619205,127.039807
도봉로147길,37.6651558,127.0398432
도봉로152가길,37.6739277,127.0450049
도봉로156길,37.67305,127.045602
도봉로169나길,37.6768693,127.0434158
도봉로181길,37.6852639,127.042155
도봉로18길,37.6616965,127.0488039
도봉로45길,37.6237756,127.0236188
도봉로67길,37.6299041,127.0220894
도봉로76길,37.6333942,127.0255617
도봉로8길,37.6119214,127.032195
도봉로99길,37.6428374,127.02809
도봉산4길,37.6883645,127.0422625
도봉산길,37.6879391,127.0336271
도산대로15길,37.5201487,127.0237172
도산대로23길,37.5209584,127.0252861
도산대로30길,37.5183924,127.0303163
도산대로38길,37.5190888,127.0324768
도산대로50길,37.5206444,127.0376091
도산대로81길,37.5261123,127.0469625
도산대로89길,37.5258991,127.0510956
도신로15길,37.5076045,126.8972947
도신로29길,37.5092576,126.9048824
도신로60길,37.5104391,126.9175916
도신로62길,37.5100674,126.9196028
도화4길,37.5399499,126.951186
도화길,37.5409204,126.949725
독립문로8길,37.5673076,126.9601395
독막로22길,37.5464659,126.9283471
독막로32길,37.546154,126.938245
독막로8길,37.5468636,126.9179263
독산로108길,37.4796435,126.9065128
독산로40길,37.4609837,126.9076563
독산로50길,37.4620301,126.9092995
독산로64길,37.4661597,126.905516
독산로70길,37.4675247,126.9048111
독산로78다길,37.4698006,126.9054882
독산로85길,37.4723136,126.9021582
돈화문로11가길,37.5749095,126.9903073
돌곶이로14길,37.608624,127.0613878
돌곶이로22길,37.6101523,127.0604017
돌곶이로27길,37.6067457,127.0609639
돌곶이로28길,37.6070225,127.0610963
돌곶이로41길,37.6077808,127.0599191
돌곶이로8길,37.6069158,127.0636419
동광로12길,37.4885122,126.9853011
동광로1길,37.4940947,126.9838562
동광로39길,37.49656,126.9995371
동교로17길,37.5573668,126.914952
동교로19길,37.5575678,126.9170088
동교로25길,37.5588443,126.9205348
동교로27길,37.5596674,126.9217343
동교로38길,37.5616698,126.925644
동남로20길,37.494842,127.1353722
동남로65길,37.5477331,127.1543469
동남로82길,37.5601982,127.1604187
동남로85길,37.5613094,127.1546484
동산로10길,37.4704172,127.0462819
동산로19길,37.4740984,127.0465478
동소문로13길,37.5893626,127.0075191
동소문로15길,37.5939418,127.0144375
동소문로26가길,37.5946033,127.0216602
동소문로2길,37.5885622,127.0087616
동소문로6길,37.5884258,127.0080677
동일로100길,37.5893955,127.0818787
동일로101길,37.5886325,127.0761715
동일로112길,37.5933134,127.0834431
동일로123길,37.5985415,127.0765266
동일로130길,37.6001935,127.0825927
동일로139가길,37.6042345,127.0781412
동일로139길,37.6030811,127.0768776
동일로140길,37.6049285,127.0811019
동일로149길,37.6063533,127.0752812
동일로157길,37.6097359,127.0761756
동일로163길,37.6118501,127.0760553
동일로173가길,37.6216387,127.0726318
동일로18길,37.5388474,127.0666523
동일로192길,37.6268785,127.0760258
동일로242길,37.6749848,127.0577785
동일로24길,37.542888,127.0683362
동작대로17길,37.4829156,126.9796058
동작대로29길,37.49006,126.97817
동작대로33길,37.4902347,126.9801392
동작대로35길,37.4919155,126.9790948
동작대로7길,37.4783526,126.9790449
동호로10길,37.5552361,127.0126794
동호로11길,37.5523781,127.0081486
동호로15길,37.5545835,127.0079958
동호로20길,37.5600193,127.0095093
동호로8길,37.5534974,127.0138608
두텁바위로1길,37.5476149,126.9754246
둘레9길,37.5370939,127.0506583
등용로14길,37.5122987,126.9343936
등촌로13길,37.5372175,126.859804
등촌로39길,37.5461121,126.8603478
등촌로51길,37.5495684,126.8604727
등촌로55길,37.5501164,126.8620056
등촌로5길,37.533761,126.8613846
디지털로27길,37.4841056,126.8902836
디지털로32가길,37.4811371,126.8975472
디지털로32길,37.4837235,126.8993211
디지털로37길,37.4900522,126.8983282
디지털로57길,37.4917368,126.9011491
디지털로74길,37.4947395,126.9064708
뚝섬로23길,37.537359,127.0661825
뚝섬로24길,37.5345575,127.0630202
뚝섬로48길,37.5310519,127.0771561
뚝섬로54길,37.5299395,127.0802619
뚝섬로58길,37.5301766,127.0843932
뚝섬로5길,37.5420538,127.0509952
뚝섬로64길,37.5318075,127.0891378
마방로2길,37.4715078,127.0395502
마장로27길,37.5670846,127.0344233
마장로39길,37.567632,127.0429473
마조로16길,37.5644626,127.0430384
마조로1길,37.5606754,127.039547
마천로51길,37.4967275,127.152055
마포대로12길,37.5470612,126.954604
마포대로20길,37.5518015,126.9576095
마포대로4길,37.5368684,126.9459292
만리재옛길,37.5475132,126.9568875
만양로14길,37.5120968,126.946297
만양로8길,37.5095659,126.9467184
망우로18가길,37.5877933,127.0610712
망우로18길,37.5882421,127.0626289
망우로21길,37.5896388,127.0592473
망우로68길,37.5968837,127.1010552
망우로73길,37.6031299,127.1037918
망원로11길,37.5595587,126.9058145
망원로2길,37.5545778,126.902117
매봉길,37.5465935,127.0142975
매봉산로2길,37.5773826,126.8956667
면목로17길,37.5704471,127.0821029
면목로21길,37.5724004,127.0820424
면목로33길,37.576531,127.0834822
면목로45길,37.5819343,127.0866742
면목로48길,37.5820858,127.0905835
면목로49길,37.5829114,127.0857564
면목로55길,37.5843138,127.0858032
면목로56길,37.5838074,127.0910175
면목로78길,37.5907755,127.0903523
명동길,37.5636048,126.9848959
명륜길,37.5891354,126.9945216
명일로13길,37.5335139,127.1430487
명지대길,37.5830918,126.9217026
모래내로15길,37.5740091,126.9198012
모래내로7길,37.5675648,126.9107738
목동남로4길,37.5092286,126.8676048
목동동로12길,37.5229444,126.8738458
목동동로8길,37.5165921,126.8715748
목동로19길,37.5247756,126.8616429
목동로9길,37.5227583,126.8621716
목동중앙남로3가길,37.5383328,126.8646396
목동중앙로13나길,37.5447404,126.8801704
목동중앙로3길,37.5378317,126.8685455
목동중앙본로7길,37.5394996,126.8673511
목동중앙북로16길,37.5437211,126.8728807
목동중앙북로8길,37.5456576,126.8664435
목동중앙서로7길,37.5336206,126.8660262
목동중앙서로8가길,37.5309542,126.8649288
무수막길,37.5511116,127.0227953
무학로16길,37.5707587,127.0317835
무학로45길,37.5800485,127.0277012
무학로6길,37.565077,127.033126
무학봉28길,37.5617126,127.0335792
무학봉길,37.5607632,127.0281856
문성로5길,37.4783102,126.9050001
미성5길,37.4737638,126.9151269
바우뫼로39길,37.4821069,127.0395285
반포대로9길,37.4828731,127.0091222
방배로18길,37.4858934,126.9981081
방배로35길,37.4925271,126.9880595
방배로42길,37.4944967,126.9901513
방배중앙로21길,37.492122,126.9845644
방배천로4안길,37.4803714,126.9833312
방울내로9안길,37.5607969,126.9002297
방학로10길,37.6640702,127.0341054
방학로15길,37.6603412,127.0238181
방학로5길,37.6614038,127.0382371
방학로6가길,37.6653933,127.0384357
방화대로21길,37.5638421,126.8127391
방화대로6라길,37.5557394,126.8183559
백범로16길,37.5468785,126.9424791
백범로79길,37.5412058,126.9645332
백범로90길,37.5374207,126.969245
백석동길,37.5953856,126.9670279
백제고분로21길,37.5056381,127.0908246
백제고분로22길,37.502055,127.0889823
백제고분로31길,37.5038326,127.0952442
백제고분로32길,37.4998633,127.0943942
백제고분로33길,37.5043861,127.0987532
백제고분로34길,37.5005541,127.0988138
백제고분로39길,37.5058869,127.1043148
백제고분로42길,37.5052344,127.1099911
백제고분로45길,37.5097005,127.1095702
백제고분로46길,37.5075478,127.1137929
백제고분로50길,37.5133452,127.1182633
범안로11길,37.4680761,126.8911737
범안로17길,37.4680863,126.8937169
법원단지9길,37.4752599,126.9221239
법원단지길,37.474634,126.9213333
벚꽃로56길,37.482747,126.8845978
보국문로16길,37.6129005,127.0103108
보문로13길,37.5798653,127.0196542
보문로26길,37.5870959,127.0207861
보문로31길,37.5874488,127.0144816
보문로32길,37.5901028,127.0197479
복은길,37.4745891,126.9391032
봉우재로33길,37.5942987,127.088409
봉은사로109길,37.5174074,127.0633745
봉은사로29길,37.5091694,127.0342797
봉은사로43길,37.511278,127.0395644
봉은사로57길,37.512626,127.044588
봉은사로68길,37.5101005,127.0511494
봉천로13길,37.4902328,126.9307895
봉천로33길,37.4848436,126.9441274
봉화산로30길,37.5992809,127.0852079
봉화산로4길,37.5994082,127.07529
봉화산로56길,37.6043989,127.0979026
부일로11길,37.495679,126.8308325
부일로15길,37.4943019,126.8330298
부일로1길,37.4933739,126.8191554
북아현로4길,37.5597105,126.9583898
북촌로11길,37.5831553,126.9838361
북촌로5길,37.5795376,126.9836008
북촌로5나길,37.5830559,126.9823805
불광천길,37.5922235,126.9150787
사가정로13길,37.579611,127.0587175
사가정로23가길,37.5801334,127.0719208
사가정로2길,37.568972,127.0535421
사가정로42길,37.5787398,127.0824743
사가정로54길,37.5789821,127.0874945
사근동길,37.5603172,127.045489
사당로16가길,37.4839673,126.9708794
사당로16길,37.4801925,126.9714636
사당로20길,37.4804371,126.9747901
사당로23길,37.4891624,126.9719905
사당로23나길,37.4872389,126.9748396
사당로26길,37.4794467,126.9779727
사당로29길,37.4861644,126.9773555
사당로2차길,37.4871214,126.9660472
사당로30길,37.4807642,126.9808225
사당로8길,37.4835542,126.9682748
사임당로17길,37.4921846,127.0187788
사평대로22길,37.4977817,126.9975644
사평대로26길,37.4984167,126.9989049
사평대로57길,37.506945,127.0222083
삼각산로28길,37.6384924,127.0198882
삼선교로10길,37.5858498,127.0094957
삼선교로10다길,37.5849979,127.008679
삼선교로16가길,37.5844757,127.0116099
삼성로115길,37.5143321,127.0494282
삼성로147길,37.5213942,127.0461968
삼성로57길,37.497349,127.0582793
